Minesweeper (1992);Mineswee
Mirage (1995);Mirage
Missile Attack! (1992);MissileA
Mission 9 (1995);Mission9
Mixed-Up Mother Goose Deluxe (1995);Mixed-Up
Metal Marines (1994);MMarine
Metal Marines Master Edition (1995);MMarineM
Museum Of Anything Goes (1995);moagoes
Mind of a Killer (1995);mofkill
Monopoly Deluxe (1992);Mono3Dlx
Monopoly (1995);Mono3x
Mordor - The Depths of Dejenol (1995);Mordor-T
MorphMan (1993);MorphMan
Mortuum (1995);Mortuum
Mosaic (1993);Mosaic
Moving Puzzle - Action Flights (1998);MPAction
Moving Puzzle - Cats (1998);MPCats
Moving Puzzle - Fun Sports (1998);MPFun
Monty Python and the Quest for the Holy Grail (1996);MPHolyG
Moving Puzzle - Jungle World (1998);MPJungle
Moving Puzzle - Motor Sports (1998);MPMotor
Moving Puzzle - Nature Events (1998);MPNat
Moving Puzzle - Sea World (1998);MPSeaW
Monty Python's Complete Waste of Time (1994);MPWaste
Moving Puzzle - Wild Life (1998);MPWild
Mr. Drumstix' Music Studio (1993);MrDrumst
Mr. Potato Head Saves Veggie Valley (1996);MrPotato
Mr. Potato Head Activity Pack (1998);MrPotHAP
Mr. Wonder's Greatest Toyshop On Earth (1996);MrWonGTE
Microsoft 500 Nations (1995);MS500N
Microsoft Ancient Lands (1994);msanclan
Microsoft Arcade (1993);MSArc
Microsoft Art Gallery (1993);MSArtG
Isaac Asimov's - The Ultimate Robot (1994);MSAsimov
Scholastic's The Magic School Bus Explores Inside the Earth (1996);MSBEarth
Scholastic's The Magic School Bus Explores the Human Body (1994);MSBHuman
Microsoft Bob (1995);MSBob
Scholastic's The Magic School Bus Explores the Ocean (1995);MSBOcean
Microsoft Bookshelf '95 (1995);MSBook95
Microsoft Complete NBA Basketball Guide '94-'95 (1994);MSBskt95
