$100,000 Pyramid (1988);$100000P
SimEarth - The Living Planet (1990);simearth
SimFarm (1993);SimFarm
SimHealth (1994);SimHealt
SimIsle - Missions in the Rainforest (1995);SimIsle
SimLife (1992);SimLife
Simon the Sorcerer (1993);simon1
Simon the Sorcerer II - The Lion, the Wizard and the Wardrobe (1995);simon2
Simpsons Arcade Game, The (1991);SimpArc
Simpsons, The - Bart's House of Weirdness (1991);SimpBHoW
Simpsons, The - Bart vs. the Space Mutants (1991);SimpBvS
Sim Pizza (1994);SimPizza
SIMSpace (1993);SIMSpace
SimuSex (1992);SimuSex
Sinaria - Lost in Space (1994);Sinaria
Sinbad and the Throne of the Falcon (1988);sinbadtf
Sin-Ganada (1994);SinGanad
Sinistar (1995);Sinistar
Sink the Bizmark (1986);SinkBizm
Sink or Swim (1993);SinkorSw
Sint Nicolaas (1998);SintNico
Sir AddaLot's Mini Math Adventure (1993);SirAddaL
Sir Guy Gallant & The Deadly Warning (1993);SirGuyGa
Sir Ramic Hobbs and the High Level Gorilla (1989);SirRamic
Sirwood (1990);Sirwood
Savage Island Part 1 (1980);sislan1
Savage Island Part 2 (1981);sislan2
Sister Mary (1992);SistMary
Sito Pons 500cc Grand Prix (1990);SitoPons
SITris (1990);SITris
Sixx (1993);Sixx93
Skaphander - Der Auftrag (1995);Skaphand
Skateboard Kid, The (1992);SkatBKid
Skate Dragon (1990);SkatDrag
Skate or Die (1988);SkateorD
Skeet Shoot (1982);SketShot
Ski Adventure (1991);SkiAdven
Skidoo (1989);Skidoo
Skiing (1984);Skiing84
Ski Jump International (1994);SkiJump
Ski King (1996);SkiKing
Ski King 2 (1997);SkiKing2
Ski King 3 (1997);SkiKing3
Ski or Die (1990);SkiorDie
Spooky Kooky Monster Maker (1992);SKMM1992
Skate Boarding (1998);SktBrd98
Skulas (1993);Skulas
Skull & Crossbones (1991);SkullCro
Skullduggery - Adventures in Horror (1989);Skulldug
Skull Quest I - The Cyan Sarcophagus (1993);SkullQ1
Skull Quest II - The Vortex (1994);SkullQ2
Skunny - Back to the Forest (1993);SkunnyBa
Skunny - In The Wild West (1993);SkunnyIn
Skunny Kart (1993);SkunnyKa
Skunny - Lost in Space (1993);SkunnyLo
Skunny - Save Our Pizzas! (1993);SkunnySa
Skunny's Desert Raid (1993);SkunnysD
Skunny - Special Edition (1995);SkunnySp
Skweek (1989);Skweek
Sky Bombers (1994);SkyBombr
Sky Cat (1991);SkyCat91
SkyChase (1990);SkyChase
Skyfox II - The Cygnus Conflict (1988);SkyfoxII
Sky Jaguar (1984);SkyJagua
Skyland's Star (1993);Skylands
SkyNET (1996);SkyNET
SkyRoads (1993);SkyRds
SkyRoads Xmas Special (1994);SkyRdsX
Sky & Rica (1995);SkyRica
Sky Runner (1987);SkyRunne
Sky Shark (1989);SkyShark
Slam City with Scottie Pippen (1995);SlamCity
Slam 'N Jam '96 featuring Magic N Kareem (1997);SlamNJam
SLASH (1996);Slash
Slater & Charlie Go Camping (1993);SlaterCh
Sleeping Gods Lie (1989);sleepgod
Sleepwalker (1993);Sleepwal
Sleuth - A Murder Mystery (1983);sleuthmu
Slicks n Slide (1993);SlicksnS
Sliders (1991);Sliders
Slime (1991);Slime91
Slipstream 5000 (1995);Slipstre
Star Lord (Keith Cox)(1987);slord87
Star Lord (Softbook)(1987);slord872
Slordax - The Unknown Enemy (1991);SlordaxT
Slot (1983);Slot1983
SLOT-8 (1991);SLOT8
Silverball 2 Plus (1994);SlvrBl2+
Super Mario World DX (2002);SMarioDX
Smashing Pumpkins into Small Piles of Putrid Debris (1993);Smashing
Smashout (1984);Smashout
Sid Meier's Civilization (1991);SMCivili
Sid Meier's Colonization (1994);SMColoni
Secret Mission of Submarine (1994);SMofSub
Smolensk to Moscow (1999);Smolensk
Sid Meier's Railroad Tycoon (1990);SMRailT
Sid Meier's Railroad Tycoon Deluxe (1993);SMRailTD
Smooth Tetris (1992);SmTetris
Smurfs, The - The Teletransportsmurf (1995);SmurfsTT
Smus (1993);Smus
Space Nightmare (1994);SN
Snack Attack II (1982);SnackAtt
Snake Battle (1992);snakbatt
Snake (2012);Snake
Snake Game (1992);SnakeGam
Snake Pit (1986);SnakePit
Snaker (1993);Snaker
Snakes (1988);Snakes88
SnakeWinder (1990);SnakWind
Snap Dragon (1992);SnapDrag
Snarf (1988);Snarf
Super Nibbly (1993);SNibbly
Snipes (1982);Snipes
Snood (1999);Snood99
Snooper Troopers (1982);snoop1
Snooper Troopers Case 2 (1982);snoop2
Snoopy (1990);snoopy
Snoopy's Game Club (1992);SnoopysG
Snow Queen, The (1993);snowquen
Snowstrike (1990);Snowstri
Soccer (1994);Soccer94
Soccer Kid (1994);SoccerKi
Soccer Superstars (1996);SoccerSu
Soccer Team Manager (1994);SoccerTe
Sorcerer of Claymorgue Castle (1984);soclayc
Socrates 3 (1993);Socrate3
Spear of Destiny (1992);SoD3D
Strange Odyssey (1981);sody
Day for Soft Food, A (1999);softfood
Softporn Adventure (1991);softporn
Softporn II (1985);Softprn2
Sokoban 1994 (1994);Soko94
Soko-Ban (1984);SokoBan
Sokoban (2007);Sokoban7
Sokoball of Osaka (1993);SokobaOs
Soko-Sex (1994);SokoSex
Solar Hockey League, The (1992);SolaHL
Solar Winds - Galaxy (1993);solarwin
Soldier Boyz (1997);SoldBoyz
Soldiers of Fortune (1994);Soldiers
Solidarnosc (1991);Solidarn
Solid Ice (1996);SolidIce
Solitaire's Journey (1992);solijour
Solitaire Royale (1987);SoliRoya
Solitaire (1986);Solit86
Solitare (1985);Solitare
Solitile (1991);Solitile
Sol Negro (1988);SolNegro
Solo (1989);Solo
Solo Flight (1985);solofly
Solomon's Key (1988);solokey
Soltys (1995);soltys
Solus (1988);Solus88
Solver - The Bank Quest (2001);SolverT
Shadows of Mordor (1987);somordor
SONGTAN - The Next Morning (1993);SONGTAN
Son of Stagefright (1989);SonofSta
Sons of Liberty (1988);SonsofLi
Sony Game (1990);SonyGame
Sooty and Sweep (1992);SootySwe
Silent Operation III - The Impossible Mission Under Water (1995);SOP3IMUW
Sopwith (1985);Sopwith
Sopwith 2 (1985);Sopwith2
Sopwith - The Author's Edition (2000);SopwithT
Sorcerer (1984);sorc
Sorceror's Appraisal, The (2002);SorcAppr
Sorcerer's Bane (1992);SorcBane
Sorcerer Lord (1988);Sorcerer
Sorcerian (1990);sorceria
Sorry! (1988);sorry88
Sorry! (1990);sorry90
Sorry Ass (2016);SorryAss
Soul, The (1998);Soul
Soul Crystal (1992);soulcrys
Soul Magician (1992);SoulMagi
Soviet (1990);Soviet90
Soviet Union Strikes Again, The (2001);sovunsa
Space 1889 (1990);spac1889
Space Ace II - Borf's Revenge (1991);SpacAc2
Space Ace (1994);SpacAc94
Space Assault (2017);SpacAsst
Space Attack (1987);SpacAtak
Space Caverns (1985);SpacCave
Spacecutter (1989);SpacCutt
Space Ace (1989);spaceace
Space Adventure (1992);SpaceAdv
Space Battles (1993);SpaceBat
Space Chase (1993);SpaceCha
Space Commanders II (1985);SpaceCo2
Space Commanders (1983);SpaceCom
Space Conquest - A Galactic Odyssey (1990);SpaceCon
Space Crusade (1992);SpaceCru
Spaced (1996);Spaced
Space Dude (1994);SpaceDud
Space Station Escape (1995);SpaceEsc
Space Fortress (1999);SpaceFor
Space Harrier (1989);SpaceHar
Space Invaders (1995);SpaceIn
Space Jam (1996);SpaceJam
Space MAX (1992);spacemax
Space Miner (1990);SpaceMi
Space Pirates (1994);SpacePir
Space Racer (1988);SpaceRac
Space School Simulator - The Academy (1987);SpaceSch
Space Snake (1989);SpaceSna
Space Spirals (1988);SpaceSpi
Space Station Oblivion (1988);SpaceSta
Space Strike (1982);SpaceStr
Spaceward Ho! (1992);Spacewar
Space Guardian (1982);SpacGuar
Space Intruders (1993);SpacIntr
SpaceKids (1996);spackids
Space M+A+X (1986);spacmx86
Space Plumber (1998);SpacPlum
Space Rogue (1989);spacrogu
SpaceWORM (1995);SpacWorm
Spacewar (1985);Spacwr85
Spacewrecked - 14 Billion Light Years From Earth (1991);spacwrek
Space Adventure (1988);SpcAdv88
Space Conflict (1993);SpcConfl
Space Hulk (1993);SpcHulk
Spear End of Destiny (2004);SpearEn
Spear Resurrection (2001);SpearRes
Special Agent (1989);specaget
Special Forces (1992);SpecialF
Spectre (1992);Spectre
Spectre VR (1993);SpectreV
Spectre Towers (1989);SpectrTo
Speculator (1993);Speculat
Speed (1993);Speed
Speedball (1988);Speedbl
Speedball 2 - Brutal Deluxe (1992);Speedbl2
Speed Demons (1997);SpeedDem
Speed Haste (1995);SpeedHas
Speed Racer in The Challenge of Racer X (1992);SpeedRac
SpeedRage (1996);SpeedRag
Speedway Manager '96 (1996);Speedway
Speed Zone (1988);SpeedZon
Spellbreaker (1985);spelbrek
Spelljammer - Pirates of Realmspace (1992);speljamp
Spellbound! (1992);SpellBou
Spell Castle (1986);SpellCas
SpellCraft - Aspects of Valor (1992);SpellCra
Spellcross (1997);Spellcro
Spelling Fun One (1988);Spelling
Spell It Plus! (1989);SpellIt
Spelunker (1991);Spelunk
SuperSki (1988);SperSki
SuperSki II (1992);SperSki2
SuperSki III (1994);SperSki3
SuperSki Pro (1994);SperSkiP
Superstar Ice Hockey (1987);SperStaH
Superstar Indoor Sports (1987);SperStaI
Spheroids (1993);Spheroid
Spider Boxer (1993);SpiderB
Spiderbot (1988);Spiderbo
Spiderman (1984);spiderm
Spider Run (1995);spidrrun
Marvel Comics Spider-Man - The Sinister Six (1996);spidssix
SPIN (1996);Spin1996
Spinout (1982);Spinout
SpinWall (1989);SpinWall
Spirit of Adventure (1991);spiradv
Space Pirate (1988);spire88
Spirit of Excalibur (1990);spirexc
Spiritual Warfare (1993);spiriwar
Spirou (1996);Spirou
Spitfire Ace (1984);spitface
Spit Wad Willy (1993);SpitWadW
Spider Web (1989);SpiWeb89
Splat! (1999);Splat!
Splat! PC (1998);Splat!PC
SplayMaster (1996);SplayMas
Splitterwelten (1997);Splitter
Space Miner (1983);SpMinr83
SPOC the Chess Master (1983);SPOC
Spoils of War (1991);Spoilsof
Strip Poker - A Sizzling Game of Chance (1985);Spoker
Strip Poker 2 Plus (1988);spoker+
Strip Poker II (1988);SPoker2
Strip Poker III (1991);SPoker3
Strip Poker Professional rev. B (1995);SpokerRB
Strip Poker Professional (1994);SPokrPro
Spong (1993);Spong93
Spore (1991);spore91
Sports Spectacular (1987);SportsS
Sports Trivia (1992);SportsT
Spot (1990);Spot90
Spryjinx (1997);Spryjinx
Spud (1996);SPUD1
SPWW2 (1999);SPWW2
Spycraft (1996);spycraft
Spyder (1983);Spyder
Spy Master (1994);SpyMast
Spy Snatcher (1988);spysnat
Spy vs. Spy III - Arctic Antics (1988);SpyvsSp
Space Quest I - The Sarien Encounter (1986);SQ1
Space Quest I - The Sarien Encounter VGA (1991);SQ1VGA
Space Quest II - Vohauls Revenge (1987);SQ2
Space Quest III - The Pirates of Pestulon (1989);SQ3
Space Quest IV - Roger Wilco and the Time Rippers (1991);SQ4
Space Quest V - The Next Mutation (1993);SQ5
Space Quest VI - Roger Wilco in the Spinal Frontier (1995);SQ6
Space Quest - The Lost Chapter (2001);SQLost
StarQuest - Star Warrior (1983);SQSW
Squares (1989);Squares
Squarex (1996);squarex
Squarez Deluxe! (1993);SquarezD
Squirm (1982);squirm
Squynchia Adventure (1988);Squynchi
Search and Destroy (1987);SrcDes87
Solar Realms Elite (1994);SRE
SRogue (2010);srogue
Super Solvers Challenge of the Ancient Empires (1990);SSCAE
Sesame Street Crayon - Letters For You (1987);SSCLet
Starship Commander's Tactical Battle Simulator, The (1993);SSComTBS
Super Street Fighter II (1996);SSF2
Super Street Fighter II Turbo (1995);SSF2T
Super Solvers Gizmos and Gadgets (1993);SSGG
Sergeant Slotte Galaxy Janitor (1995);Sslotte
Super Solvers Midnight Rescue (1989);SSMR
SSN-21 Seawolf (1994);SSN21Se
Super Solvers Operation Neptune (1990);SSON
Super Solvers OutNumbered (1990);SSOUTN
Sam Spade Game, The (2008);SSpade08
Sam Spade (1985);SSpade85
SuperSpeed Deluxe (1995);SSpedDlx
Solid State Pinball - Tristan (1991);SSPTrist
Super Solvers Spellbound (1993);SSSB
Superstar Soccer (1988);SStarSoc
Super Solvers Treasure Cove (1994);SSTC
Super Solvers Treasure Galaxy! (1994);SSTGalx
Super Solvers Treasure Mountain (1990);SSTM
Super Solvers Treasure MathStorm (1992);SSTMS
Super Stardust (1996);SStrDust
Star Trek - First Contact (1988);st1st
Star Trek - 25th Anniversary (1992);st25
Stack Up (1993);StackUp
Stalker 1 - Path of Fire (1994);Stalker1
States and Capitals (1983);StandC83
Realms of Arkania 2 - Star Trail (1994);STAR
Starball (1995);Starball
StarBlade (1990);starbld
Star Bowls (1991);StarBowl
Star Breaker (1989);StarBrek
Star Castle PC (1994);StarCast
Star Chamber (1987);StarCham
Starcom (1997);Starcom
Star Command (1988);starcoma
Star Command - Revolution (1997);StarComm
Star Control (1990);StarCon
Star Control II (1992);StarCon2
Star Control 3 (1996);StarCon3
Starcross (1982);starcros
Star Crusader (1994);StarCrus
Starduel (1991);Starduel
Starship Encounter (1989);StarEnc
Starfighter 3000 (1996);Starfigh
Starfire (1992);Starfire
Star Fleet I - The War Begins! (1985);StarFlt1
Star Fleet II - Krellan Commander (1989);StarFlt2
Starflight (1986);starfly
Starflight 2 - Trade Routes of the Cloud Nebula (1989);starfly2
Stargate (1983);Stargate
Star General (1996);StarGene
Stargoose Warrior (1989);Stargoos
Stargunner (1996);Stargunn
Star Hammer (1994);StarHamm
Star Legions (1992);StarLegi
Starlord (1993);Starlord
Starmaxx (1983);Starmaxx
StarMines II - Planet of the Mines (1992);StarMin2
StarMines (1991);StarMine
Star Portal, The (1988);starport
StarQuest - Rescue at Rigel (1983);starqrr
Starquake (1988);Starquak
Star Quest I in the 27th Century (1995);StarQue
Star Rangers (1995);StarRang
Star Rank Boxing II (1987);StarRank
Star Reach (1994);StarReac
Star Saga One - Beyond the Boundary (1987);starsag1
Star Saga Two - The Clathren Menace (1989);starsag2
Starship Invasion (1984);Starship
Star Stryker (1994);StarStry
Raiders of the Star Temple (1989);startemp
Star Traders (1984);StarTrad
Star Trek - The Next Generation - Trivia (1990);StarTrek
Star Wars (1988);StarWars
Pure-stat College Basketball (1987);statbask
States and Capitals (1988);Statesan
Stationfall (1987);statfall
Station (1992);Statio92
Star Trek Borg (1996);STBorg
Star Trek Combat Simulator (1996);STComSim
Star Trek Deep Space 9 - Harbinger (1995);stds9har
Steel Thunder (1989);SteelThu
Steg the Slug (1993);StegtheS
Stelcon 2469 (1992);stelcon
Stellar Conquest 3 - Hostile Takeover (1994);StelCon3
Stellar Crusade (1988);StelCrus
Stellar 7 (1990);Stellar7
Steel Shot (1995);StelShot
Stellar Stryker (1996);StelStry
Strike Force Harrier (1988);StForHar
Stick Fighter I (1991);StickFi1
Stick Fighter II (1992);StickFig
Sticky Wicket (1992);StickWik
Stickybear Town Builder (1992);Stickybe
Stillhunt (1996);Stillhun
StixWorld (1998);StixWorl
Star Trek - Judgement Rites (1993);stjudge
Star Trek - Judgement Rites CD (1993);stjudgec
Star Trek - The Kobayashi Alternative (1985);stkoby
Steel Panthers (1995);StlPan1
Steel Panthers II - Modern Battles (1996);StlPan2
Steel Panthers III - Brigade Command (1939-1999) (1997);StlPan3
Stone Mist (1992);StnMist1
Stone Mist 2 (1994);StnMist2
Stocker (1988);Stock88
Stock Market - The Game (1990);StockMar
StoneBreaker (1996);StonBrek
Stone Age (1992);StoneAge
Stonekeep (1995);stonkeep
Stoneville Manor (1984);StonMano
Storm (1987);Storm87
S.T.O.R.M. (1996);STORM96
Storm Across Europe (1989);StormAcr
Stormlord (1989);Stormlor
Storm Master (1992);StormMas
Stormovik - SU-25 Soviet Attack Fighter (1990);Stormovi
Storms I (1993);StormsI
Storm in the West (1998);StormWst
Stormy World - The Three Kingdoms (1995);StormyWo
Story Machine (1982);StoryM82
Star Trek - The Promethean Prophecy (1986);stprom
Stratego (1990);Stratego
Strategy Games (1983);Strategy
Strategic Video Poker (1991);StratVP
Strawberry Magic (1995);StrawMag
Starship Columbus (1986);StrColum
Star Dust (1988);StrDst88
Stardust (1995);StrDst95
Street Ball (1993);StreetBa
Street Cat (1988);StreetCa
Street Football (1988);StreetFB
Street Fighting Man (1989);StreetFi
Street Racer (1997);StreetRa
Street Rod 2 The Next Generation (1991);StreetRo
Star Trek Pinball (1998);STrekPin
Star Trek - The Rebel Universe (1988);STrekRU
Star Trek - Strategic Operations Simulator (1983);STrekSOS
Star Trek V - The Final Frontier (1989);STrekV
Starglider (1986);Strglid
Starglider 2 (1989);Strglid2
Strider (1989);Strider
Strife (1996);Strife
Strike Commander (CD-ROM Edition) (1993);StrikCoC
Striker (1985);Strike85
Strike (1987);Strike87
Strike Aces (1990);StrikeAc
Strike Base (1996);StrikeBa
Strike Fleet (1988);StrikeFl
Strike II (1991);StrikeII
StrikePoint (1996);StrikePo
Striker (1992);Striker1
Striker '95 (1995);Striker9
Strike Squad (1993);StrikeSq
Striker '96 (1996);Strikr96
Star Lords (2001);StrLords
Strange Days (2002);StrngDay
Stronghold (1993);Strongho
Stroper (1988);Stroper
Star Ship Attack (1982);StrShpAt
Star Trek (1981);StrTrk81
Street Rod (1989);StrtRods
Street Sports Basketball (1987);StrtSpBa
Street Sports Baseball (1987);StrtSpBs
Street Sports Soccer (1988);StrtSpSo
Storybook Weaver (1992);Strybook
Stryx (1990);Stryx
Star Ship Command (1987);StShipCo
Star Trek - The Last Generation (1988);STTLG
Star Trek The Next Generation - The Transinium Challenge (1989);sttrans
Star Trek The Next Generation - A Final Unity (1995);stunity
S.T.U.N. Runner (1990);STUNRunn
Stunt Driver (1990);StuntDri
Stunt Island (1992);StuntIsl
Stunt Jumper (1991);StuntJu
Stunts (1990);Stunts
Stunt Track Racer (1989);StuntTra
Styx (1984);Styx
Su-27 Flanker (1996);Su-27Fla
Sub Battle Simulator (1987);SubBattl
Subbuteo (1990);Subbuteo
Submarine Fury (1999);SubFury
Subhunt (1997);Subhunt
Submarine (1989);Submarin
Sub Mission (1987);submiss
Subway Slueth (1991);SubSluth
Subterraneans (1996);Subterra
Subtrade - Return to Irata (1992);Subtrade
Suburban Commando (1993);Suburban
Subwar 2050 (CD-ROM) (1994);SubwarCD
Sudoku The Mind Game (2006);Sudoku06
Sudoku86 (2014);Sudoku86
Summer Challenge (1988);SummerCh
Summer Games II (1986);SummerGa
SungSegi (1994);SungSegi
Supaplex (1991);Supaplex
Super Apocalypse Warriors (1997);SupApocW
Super Boulder Dash (1986);supbold
Supercopter (1987);SupCoptr
Super Action Ball (1995);SuperAc
Super Angelo (2001);SuperAng
Super Ball! (1992);SuperBal
Super Beemger (1994);SuperBee
Superbike Challenge (1987);Superbik
Superbowl Sunday (1985);Superbow
Super Bubble Mania (1997);SuperBu
Super C (1990);SuperC
Supercars International (1996);Supercar
Super Cauldron (1992);SuperCau
Super Cop (1994);SuperCo
Super Fighter (1993);SuperFig
Superfly (1994);Superfly
Superfrog (1994);Superfro
Super Hang-On (1987);SuperHan
SuperKarts (1995);SuperKar
Super Kid (1997);SuperKid
Super Kof (1991);SuperKof
Superman - The Man of Steel (1989);Superman
Super Munchers - The Challenge Continues... (1991);SuperMun
Super Noah's Ark 3-D (1995);SuperNoa
Super Pac-Man (1989);SuperPac
Super Panic Monsters (1995);SuperPan
Super Password (1988);SuperPas
Super Plumber (1996);SuperPlu
Super Silverbrothers (1991);SuperSil
Super Stupid Space Invaders (1997);SuperSt
Super Star Trek (1982);SuperSta
Super Star Wars (1994);SuperSW
Super Tetris (1991);SuperTet
Super Trix (1993);SuperTr
Super Worms (2003);SuperWo
Super Zaxxon (1984);SuperZax
Super ZZT (1992);superzzt
Super GemZ (1992);SupGemz
Super Huey II (1988);SupHue2
Super Huey UH-IX (1988);SupHueIX
Super Boxing (1994);SuprBox
Supercyber (1993);SuprCyb
Supreme Warrior (1996);SupremeW
Super Maxit (1990);SuprMaxi
Supernova (1987);suprnova
Super Trio (1995);SuprTrio
S-Tetris (1991);suptris
Super Winnie the Pooh (1996);SupWinni
Surface Tension (1996);SurfaceT
Surf Ninjas (1994);SurfNinj
Survival Adventure (1991);SurvAdv
Survival (1995);Surviv95
Survival in New York City (1986);survnyc
Susan (1988);susan
Suspect (1984);suspect
Suspended (1982);suspende
Super-VGA Harrier (1993);SVGAHarr
Soviet Block, The (1990);SvietBlk
Soviet Block II (1991);SvitBlk2
Swap (1992);Swap92
Swapper (1996);swapper
Starwars 2 (1995);SWARS2
Star Wars Chess (1993);SWarsChs
Shane Warne Cricket (1997);SWCrick
Star Wars - Dark Forces (1995);SWDForc
Switch (1995);Switch
Switch (1982);Switch82
SWIV 3D (1996);SWIV3D
Stanford Wong Video Poker (1990);SWongVP
Sword Quest 1 - The Search (1992);swoqu1
Sword Quest 2 - Tale of the Talisman (1993);swoqu2
Sword Fight II (1994);SwordF2
Sword of Aragon (1989);SwordofA
Sword of Honour (1993);SwordofH
Sword of the Samurai (1989);Swordoft
Swords of Glass (1986);sworglas
Star Wars - Rebel Assault (1993);SWRA
Star Wars - Rebel Assault II - The Hidden Empire (1995);SWRA2
Star Wars TIE Fighter (Collector's CD-ROM) (1995);SWTieCD
Snow White's Voyage (2003);SWVoy
Star Wars X-Wing (Collector's CD-ROM) (1994);SWXWCD
Syndicate Plus (1994);Syndicat
Syndicate Wars (1996);SyndWars
Synnergist (1996);synner
System4 Mister Tengus Adventure (1991);Sys4MTA
System Shock (1994);SystemSh
So You Wanna Be A Redneck (1998);SYWBARN
Syyrah - The Warp Hunter (1997);syyrah
Trust & Betrayal - The Legacy of Siboot (1987);t&b
Tommy's Twenty-One (1986);T21
Terminator 2 - Judgement Day - Chess Wars (1993);t2chess
T2 - The Arcade Game (1993);T2TheArc
Tommy's Six-Bid Solo (1994);T6BidSol
Abbey, The (1993);tabbey
Tactical Manager (1994);TacManag
Taco Bell - Tasty Temple Challenge (2000);TacoBell
Tactile (1989);TacTil89
TeenAgent (1995);tagent
Tag Team Wrestling (1986);TagTeamW
Tailchaser (1997);Tailchas
Tommy's Air Raid (1986);TAirRaid
Tommy's Airshark (1986);TAirShk
Taito's Super Space Invaders (1991);TaitosSu
Taking of Beverly Hills, The (1991);takebevh
Take Down (1988);TakeDown
Taking Care of Business (1994);TakingCa
Tales Of Magic (1992);TalesOfM
Tales Of Treasure (1992);TalesOfT
Talisman - Challenging the Sands of Time (1987);talisman
Animated Memory Game, The (1994);tamg
Tamoret - The Adventure to the Fourth Dimension (1995);Tamoret
Tamper (1988);Tamper88
Tangled Tales (1989);tangtale
Tanis (2008);Tanis
Tank2 (2000);Tank2
Tank (1983);Tank83
Tank Commander (1995);TankComm
Tanks' Destroyer (1993);TankDest
Battle Europe (1993);TankeDJu
Tankgame (1995);Tankgame
Tank The M1A1 Abrams Battle Tank Simulation (1989);TankTheM
Tank Wars (1986);TankWars
Tommy's Ant Farm (1986);TAntFrm
TAO - Ren Jian Dao Zhi Shaonian Yan Chi Xia (1998);TAO1998
Adventures Of Dianalee, The - In The Lost temple Of The Aztecs (1994);TAoDLToA
Tapper (1983);Tapper
Target (IBM)(1982);Targ1982
Target (1983);Target83
Targhan (1989);Targhan
Tark Simmons (1988);TarkSimm
Task Force 1942 (1992);TaskForc
Tass Times in Tonetown (1986);TassTime
Animated SVGA Memory Game, The (1994);tasvgamg
Tommy's ATC (1986);TATC
Tau Ceti (1987);TauCeti
Taxi Run (1995);Taxirun
Tommy's Balloon (1986);Tballoo
Tommy's Backgammon (1987);TBGam
Turbo Blackjack (1985);TBJ1985
Tommy's Calabresella (1994);Tcalab
Tommy's Cat and Mouse (1986);TCatMou
Tommy's Chariots (1986);Tchari
Tommy's Checkers (1986);Tcheck
Tommy's Chess Set (1986);TChessS
Tommy's Chicken (1986);Tchick
Time Circle (1995);tcircle
Tommy's Coon Can (1992);TCoonCan
Tommy's Connecting Point (1988);TCPoint
Tommy's Cribbage (1986);Tcribb
Tommy's Cryptoquips (1992);Tcrypto
Civil War, The - Master Players Edition (1996);TCWMPE
Tommy's Double L (1987);TDblL
TDM's Tractor Pull Nationals (1995);TDMsTrac
Teaching Tiles (1997);Teaching
Team Suzuki (1991);TeamSuzu
Team Yankee (1990);TeamYank
Tear Down the Wall (1990);TearDown
Techno Cop (1988);TechnoCo
Total Eclipse (1988);teclip
Teenage Queen (1988);TeenageQ
Tee Time (1995);TeeTime
Tegel's Mercenaries (1992);TegelsM
TEGL Klondike Solitaire (1989);TEGLKSol
TEGL Monopoly (1989);TEGLMon
TEGL Mahjong Solitaire (1993);TEGLMSol
Tetris Gold Professional (1998);TeGoPro
TeleCards (1992);TeleCard
Telengard (1985);telegard
Tele-Hang (1991);TeleHang
Tempest 2000 (1996);Tempest2
Temple of Kroz (1990);Templeof
Tommy's Energy Fence (1986);TEnerFen
Tennis Cup (1990);TennisC
Tennis Cup 2 (1992);TennisC2
Tennis Elbow (1997);TennisEl
Ten Nights of Killing and Mayhem at F.J.B. II (1996);tennitki
Tequila & Boom Boom (1995);tequila
Teradyne (1992);TeraDyne
Teresa - House Guest (1993);Teresa
Terminator 2029, The - Deluxe CD Edition (1994);Term2029
Terminator, The - Future Shock (1995);TermFS
Terminator 2 - Judgment Day (1991);Terminat
Terminator, The - Rampage (1993);TermRamp
Terminal Terror (1994);TermTerr
Terminal Velocity (1995);TermVel
Terra Probe (1999);TerProb
TerraFire (1997);TerraFir
Terra Inc (1997);TerraInc
Terran Envoy (1990);TerranEn
Terra Nova - Strike Force Centauri (1996);TerraNov
Terroid (1996);Terroid
Terror in the Ice Caverns (1987);Terrorin
Terror of the Catacombs (1993);Terrorof
Terror in Christmas Town (1995);terrxmas
Beyond the Tesseract (1988);tesserac
Tesserae (1993);Tesserae
TETCOLOR (1991);TETCOLOR
Tetris (1992);TetHVB92
TetRAM (2000);TetRAM00
Tetriller (1990);Tetrille
Tetripz (1998);Tetripz
Tetris (2004);Tetris04
Tetris (1986);Tetris86
Tetris (1987);Tetris87
Tetris (1991);Tetris91
Tetris Pro (1994);Tetris94
Tetris (1996);Tetris96
Tetris (1997);Tetris97
Tetris Classic (1992);TetrisCl
Tetris Gold (1993);TetrisGo
Tetrolis (1993);Tetrolis
TetrOS (2004);TetrOS
Tommy's Euchre (1988);Teuchre
Tommy's Fan Tan (1990);TFanTan
TFX (1993);TFX
Games '92, The - Espana (1992);TGame92
Games, The - Summer Challenge (1992);TGameSmC
Games, The - Summer Edition (1988);TGameSmE
Games, The - Winter Challenge (1991);TGameWnC
Games, The - Winter Edition (1988);TGameWnE
Tommy's Gin Rummy (1987);TGinRum
Tommy's Global Thermonuclear War (1987);TGlThWar
Great Machine, The (2005);tgm
Th!nk Cross (1991);th!nk
Thai Chess (1994);ThaiChss
Tommy's Hanoi (1987);Thanoi
THAT Love Triangle (2000);ThatLT
Theatre of Death (1994);TheaDeth
Adventures of Sherlock Holmes, The (1990);TheAdven
Aeronautics Quiz MK 2, The (1991);TheAeron
Alcor Trivia Pro Classic Star Trek, The (Star-Log I) (1992);TheAlcor
American Challenge A Sailing Simulation, The (1986);TheAmeri
Astronomy Quiz, The (1988);TheAstro
A-Team, The (1989);TheATea
Theatre of Pain (1997);Theatreo
Adventure, The (1988);TheAvd88
Theatre of War (1992);TheaWar
Backyard, The (1993);TheBacky
Basket Manager, The (1991);TheBaske
Big Three, The (1989);TheBig3
Brick, The (1990);TheBrick
Bugs Bunny Hare-Brained Adventure, The (1990);TheBugsB
Bully, The (2014);TheBully
Burps, The (1993);TheBurps
California Raisins, The (1988);TheCalif
Carl Lewis Challenge, The (1992);TheCarlL
Castle of Dr. Malvado, The (2001);TheCastl
Catacomb Abyss, The (1992);TheCatac
